ID,date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup,winner,station_id,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
890,1971-02-13,Ireland,England,6,9,1971 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team,03969,Winter,,2.4,6.3,0.7,,,,,,
891,1971-02-27,Scotland,Ireland,5,17,1971 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
892,1971-02-27,England,France,14,14,1971 Five Nations Championship,Twickenham,London,England,False,False,,,,,,,,,,,,,
894,1971-03-20,England,Scotland,15,16,1971 Five Nations Championship,Twickenham Stadium,London,England,False,False,away_team,,,,,,,,,,,,
895,1971-03-27,Scotland,England,26,6,Rugby Union Centenary International,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
896,1971-03-27,France,Wales,5,9,1971 Five Nations Championship,Stade Colombes,Paris,France,False,False,away_team,07149,Spring,,2.5,9.4,0.3,,,,,,
897,1971-06-12,South Africa,France,22,9,1971 France rugby union tour of South Africa,Free State Stadium,Bloemfontein,South Africa,False,False,home_team,68442,Winter,,,,0.0,,,,,,
899,1971-07-17,Australia,South Africa,11,19,1971 South Africa tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team,94767,Winter,,10.2,19.1,3.6,,,,,,
900,1971-07-31,Australia,South Africa,6,14,1971 South Africa tour of Australia,Brisbane Exhibition Ground,Brisbane,Australia,False,False,away_team,,,,,,,,,,,,
901,1971-08-07,Australia,South Africa,6,18,1971 South Africa tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team,94767,Winter,,9.7,18.6,10.7,,,,,,
902,1971-11-20,France,Australia,11,13,1971 Australia tour of France,Stadium Municipal,Toulouse,France,False,False,away_team,07630,Autumn,,-1.4,7.0,0.0,,,,,,
904,1972-01-15,England,Wales,3,12,1972 Five Nations Championship,Twickenham,London,England,False,False,away_team,,,,,,,,,,,,
905,1972-01-15,Scotland,France,20,9,1972 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
906,1972-01-29,France,Ireland,9,14,1972 Five Nations Championship,Colombes,Paris,France,False,False,away_team,07149,Winter,,-2.0,0.4,0.0,,,,,,
908,1972-02-12,England,Ireland,12,16,1972 Five Nations Championship,Twickenham,London,England,False,False,away_team,,,,,,,,,,,,
910,1972-03-18,Scotland,England,23,9,1972 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team,,,,,,,,,,,,
912,1972-04-29,Ireland,France,24,14,Test Match,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Spring,,6.0,11.3,3.9,,,,,,
914,1972-06-17,Australia,France,14,14,1972 France tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,,94767,Winter,,6.5,18.3,0.3,,,,,,
915,1972-06-25,Australia,France,15,16,1972 France tour of Australia,Ballymore Stadium,Brisbane,Australia,False,False,away_team,,,,,,,,,,,,
916,1972-08-19,New Zealand,Australia,29,6,1972 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,False,False,home_team,,,,,,,,,,,,
917,1972-09-02,New Zealand,Australia,30,17,1972 Australia tour of New Zealand,Lancaster Park,Christchurch,New Zealand,False,False,home_team,93781,Spring,,7.4,15.9,,,,,,,
918,1972-09-16,New Zealand,Australia,38,3,1972 Australia tour of New Zealand,Eden Park,Auckland,New Zealand,False,False,home_team,,,,,,,,,,,,
920,1972-12-16,Scotland,New Zealand,9,14,1972-73 New Zealand tour,Murrayfield,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
921,1973-01-06,England,New Zealand,0,9,"1972–73 New Zealand rugby union tour of Britain, Ireland, France and North America",Twickenham,London,England,False,False,away_team,03772,Winter,4.9,2.0,7.0,0.3,,51.0,15.1,,,
922,1973-01-13,France,Scotland,16,13,1973 Five Nations Championship,Parc des Princes,Paris,France,False,False,home_team,07149,Winter,-2.3,-5.7,4.3,0.3,,,,,,
924,1973-01-20,Ireland,New Zealand,10,10,"1972–73 New Zealand rugby union tour of Britain, Ireland, France and North America",Lansdowne Road,Dublin,Ireland,False,False,,03969,Winter,4.4,4.0,5.3,1.5,,246.0,20.5,,991.9,
925,1973-02-03,Scotland,Wales,10,9,1973 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team,03171,Winter,7.7,3.0,10.0,0.0,,241.0,20.4,,,
926,1973-02-10,Ireland,England,18,9,1973 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Winter,4.7,0.6,8.2,0.5,,279.0,26.9,,1016.1,
927,1973-02-10,France,New Zealand,13,6,1972–73 New Zealand tour,Parc des Princes,Paris,France,False,False,home_team,07149,Winter,3.8,1.2,8.0,3.6,,278.0,22.7,,,
928,1973-02-24,England,France,14,6,1973 Five Nations Championship,Twickenham,London,England,False,False,home_team,03772,Winter,3.7,,7.0,,,,,,,
929,1973-02-24,Scotland,Ireland,19,14,1973 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team,03171,Winter,3.7,,6.0,,,,,,,
931,1973-03-17,England,Scotland,20,13,1973 Five Nations Championship,Twickenham Stadium,London,England,False,False,home_team,03772,Spring,6.4,1.0,12.0,0.0,,313.0,7.8,,1027.9,
932,1973-03-24,France,Wales,12,3,1973 Five Nations Championship,Parc des Princes,Paris,France,False,False,home_team,07149,Spring,11.4,3.2,19.8,2.2,,208.0,19.2,,,
933,1973-04-14,Ireland,France,6,4,1973 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Spring,9.5,6.3,12.0,0.0,,316.0,15.2,,1029.8,
934,1973-09-15,New Zealand,England,10,16,1973 England rugby union tour of Fiji and New Zealand,Eden Park,Auckland,New Zealand,False,False,away_team,,,,,,,,,,,,
936,1973-11-17,England,Australia,20,3,1973 Australia tour of Great Britain and Italy,Twickenham Stadium,London,England,False,False,home_team,03772,Autumn,1.5,-2.0,7.0,0.0,,,,,,
937,1974-01-19,France,Ireland,9,6,1974 Five Nations Championship,Parc des Princes,Paris,France,False,False,home_team,07149,Winter,8.7,8.1,9.1,0.0,,,,,,
939,1974-02-02,Ireland,Wales,9,9,1974 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,,03969,Winter,6.2,3.0,7.9,1.0,,245.0,26.8,,990.6,
940,1974-02-02,Scotland,England,16,14,1974 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team,03171,Winter,6.2,,9.0,2.0,,,,,,
941,1974-02-06,England,Ireland,21,26,1974 Five Nations Championship,Twickenham,London,England,False,False,away_team,03772,Winter,3.9,1.0,6.0,,,285.0,19.6,,,
943,1974-03-02,France,England,12,12,1974 Five Nations Championship,Parc des Princes,Paris,France,False,False,,07149,Spring,3.4,-0.1,8.6,0.0,,272.0,14.3,,,
944,1974-03-02,Ireland,Scotland,9,6,1974 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Spring,1.4,-2.0,4.2,0.0,,265.0,14.4,,1011.7,
945,1974-03-16,England,Wales,16,12,1974 Five Nations Championship,Twickenham,London,England,False,False,home_team,03772,Spring,10.8,8.0,14.0,0.0,,260.0,24.4,,996.8,
946,1974-03-16,Scotland,France,19,6,1974 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False,home_team,03171,Spring,6.4,,10.0,4.1,,,,,,
947,1974-05-25,Australia,New Zealand,6,11,1974 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team,94767,Autumn,14.0,8.4,16.6,7.0,,,,,,
948,1974-06-01,Australia,New Zealand,16,16,1974 New Zealand tour of Australia,Ballymore Stadium,Brisbane,Australia,False,False,,,,,,,,,,,,,
949,1974-06-08,Australia,New Zealand,6,16,1974 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team,94767,Winter,12.3,9.5,18.4,0.0,,,,,,
950,1974-06-20,Argentina,France,15,20,1974 France tour of Brazil and Argentina,Ferro Carrill Oeste,Buenos Aires,Argentina,False,False,away_team,87582,Winter,13.6,11.0,,0.0,,,,,,
951,1974-06-29,Argentina,France,27,31,1974 France tour of Brazil and Argentina,Ferro Carrill Oeste,Buenos Aires,Argentina,False,False,away_team,87582,Winter,14.1,,,,,,,,,
952,1974-11-23,France,South Africa,4,13,1974 South Africa rugby union tour of France,Stadium Municipal,Toulouse,France,False,False,away_team,07630,Autumn,9.2,6.0,11.7,7.3,,,,,,
953,1974-11-23,Ireland,New Zealand,6,15,"1974 New Zealand rugby union tour of Ireland, Wales and England",Lansdowne Road,Dublin,Ireland,False,False,away_team,03969,Autumn,6.4,1.6,9.2,13.7,,310.0,17.6,,,
954,1974-11-30,France,South Africa,8,10,1974 South Africa rugby union tour of France,Parc des Princes,Paris,France,False,False,away_team,07149,Autumn,7.8,3.5,11.1,2.2,,237.0,17.8,,,
